Nitrat;huek_250_he;buek_200_bodtyp;clc5_2018;gk_1000;humus_1000;hyraum_tr;Thuenen_2019;mundialis;NDVI
9.74;573;14;16;579;5;3103;888;10;8769
5.7;559;2;16;752;7;3103;888;10;8909
4.3;1068;2;17;747;8;10101;888;10;8787
6.8;1068;2;17;807;8;10101;888;10;8276
3.942105263;1068;2;18;834;8;10101;888;10;8074
2.35;1068;4;17;747;8;10101;888;10;8260
6.32;559;3;17;807;7;10101;888;10;8344
3.15625;1068;2;17;842;7;10101;555;20;6683
11.14;537;28;16;602;7;6203;888;10;8657
2.5;559;3;17;612;7;6202;888;20;8331
9.553846154;548;13;15;610;7;6202;555;10;7856
5.65;537;34;17;602;7;6203;888;10;8325
38.9875;537;28;15;602;7;6203;34;20;7773
10.82222222;544;17;17;602;7;6203;888;10;8442
28.59166667;469;32;15;602;7;6203;10;20;7820
25.55882353;530;28;18;598;7;6203;888;10;7740
12.22222222;467;5;15;24;5;6301;888;20;7850
34.35263158;544;28;16;602;7;6203;10;20;7803
27.04;524;2;15;598;5;6301;10;20;7270
18.75;505;32;15;579;7;6402;888;40;6995
3.625;505;17;17;579;7;6302;888;10;7866
33.3;530;28;16;602;7;6203;888;40;7199
19.4;464;17;15;594;5;6301;888;40;6993
3.1;303;28;18;579;7;6402;888;10;8187
5.75625;557;2;18;610;7;6201;888;10;8469
7.82;515;2;16;596;7;6301;888;20;8383
7.3875;571;28;15;579;12;6402;888;20;5131
30.4;290;14;15;516;5;4104;555;10;7087
12.72222222;287;2;18;98;7;4101;888;10;8389
8.8375;559;32;2;612;7;6201;888;40;7645
13.44;303;17;2;579;7;6402;888;20;6333
0.5;290;34;17;98;8;4101;888;10;8202
9.2125;524;28;16;598;7;6301;555;10;8620
10.32307692;517;2;16;596;7;6301;555;10;8618
12.21428571;517;34;17;596;7;6301;888;10;8560
8.954545455;568;28;12;514;7;6402;41;60;7675
48.77727273;299;14;15;113;8;4104;10;20;7084
4.01;286;17;18;514;8;4101;888;10;8662
23.45;537;28;15;603;5;6203;10;20;7332
27.3;321;5;18;24;5;4104;888;20;7997
12.58333333;321;14;18;113;8;4104;888;10;7920
45.87333333;544;15;15;604;7;6203;10;20;6325
29.66153846;469;32;3;607;7;6203;888;40;5802
4.16;517;2;18;596;7;6301;888;10;8545
7.7;515;2;17;596;7;6301;888;10;8707
35.98;324;14;15;515;7;4104;555;20;7064
10.42222222;286;2;17;223;8;4101;888;10;8114
27.55;290;14;18;98;8;4101;888;10;8464
24.275;517;2;18;596;7;6301;888;10;8682
14.875;517;2;17;596;7;6301;888;10;7954
