x,y,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,humus_1000,hyraum_tr,Thuenen_2019,mundialis,NDVI
395548.146,5286737.955,9.74,573,14,16,579,5,3103,888,10,8769
419360.687,5343828.081,5.7,559,2,16,752,7,3103,888,10,8909
423138.1,5307441.485,4.3,1068,2,17,747,8,10101,888,10,8787
413740.8796,5301683.785,6.8,1068,2,17,807,8,10101,888,10,8276
425289.2339,5290863.88,3.942105263,1068,2,18,834,8,10101,888,10,8074
434800.6394,5279576.672,2.35,1068,4,17,747,8,10101,888,10,8260
441922.715,5372334.759,6.32,559,3,17,807,7,10101,888,10,8344
438796.3826,5319363.704,3.15625,1068,2,17,842,7,10101,555,20,6683
446145.0268,5277798.06,11.14,537,28,16,602,7,6203,888,10,8657
453713.034,5364862.758,2.5,559,3,17,612,7,6202,888,20,8331
456132.094,5317541.59,9.553846154,548,13,15,610,7,6202,555,10,7856
458311.2206,5315242.553,5.65,537,34,17,602,7,6203,888,10,8325
453113.3916,5283115.129,38.9875,537,28,15,602,7,6203,34,20,7773
474849.6599,5377214.881,10.82222222,544,17,17,602,7,6203,888,10,8442
474479.8095,5357470.763,28.59166667,469,32,15,602,7,6203,10,20,7820
468487.2168,5327787.535,25.55882353,530,28,18,598,7,6203,888,10,7740
463489.193,5310224.542,12.22222222,467,5,15,24,5,6301,888,20,7850
484385.9394,5388435.421,34.35263158,544,28,16,602,7,6203,10,20,7803
485358.4972,5379963.87,27.04,524,2,15,598,5,6301,10,20,7270
483371.2595,5318442.279,18.75,505,32,15,579,7,6402,888,40,6995
476775.863,5313418.275,3.625,505,17,17,579,7,6302,888,10,7866
492957.5412,5368411.471,33.3,530,28,16,602,7,6203,888,40,7199
491448.082,5359005.224,19.4,464,17,15,594,5,6301,888,40,6993
491777.9603,5328445.367,3.1,303,28,18,579,7,6402,888,10,8187
509287.1158,5475690.532,5.75625,557,2,18,610,7,6201,888,10,8469
502343.7026,5379946.787,7.82,515,2,16,596,7,6301,888,20,8383
503676.835,5338431.709,7.3875,571,28,15,579,12,6402,888,20,5131
511818.8654,5316697.046,30.4,290,14,15,516,5,4104,555,10,7087
503711.1263,5304591.977,12.72222222,287,2,18,98,7,4101,888,10,8389
520876.6545,5496929.933,8.8375,559,32,2,612,7,6201,888,40,7645
518908.4468,5364765.1,13.44,303,17,2,579,7,6402,888,20,6333
516258.2237,5302479.707,0.5,290,34,17,98,8,4101,888,10,8202
528423.4672,5458605.25,9.2125,524,28,16,598,7,6301,555,10,8620
530400.0788,5439587.52,10.32307692,517,2,16,596,7,6301,555,10,8618
535670.4091,5425298.613,12.21428571,517,34,17,596,7,6301,888,10,8560
535546.0372,5343819.406,8.954545455,568,28,12,514,7,6402,41,60,7675
524872.6471,5303831.34,48.77727273,299,14,15,113,8,4104,10,20,7084
531426.2018,5286219.34,4.01,286,17,18,514,8,4101,888,10,8662
536379.3507,5471076.274,23.45,537,28,15,603,5,6203,10,20,7332
545934.3393,5294084.324,27.3,321,5,18,24,5,4104,888,20,7997
543504.3678,5277601.921,12.58333333,321,14,18,113,8,4104,888,10,7920
549177.5774,5503589.673,45.87333333,544,15,15,604,7,6203,10,20,6325
549559.9952,5459110.026,29.66153846,469,32,3,607,7,6203,888,40,5802
557391.6997,5434125.004,4.16,517,2,18,596,7,6301,888,10,8545
559315.8948,5422184.791,7.7,515,2,17,596,7,6301,888,10,8707
556648.472,5333616.831,35.98,324,14,15,515,7,4104,555,20,7064
561524.99,5309060.33,10.42222222,286,2,17,223,8,4101,888,10,8114
551377.0793,5302057.087,27.55,290,14,18,98,8,4101,888,10,8464
568747.1764,5436354.026,24.275,517,2,18,596,7,6301,888,10,8682
569042.0204,5427537.588,14.875,517,2,17,596,7,6301,888,10,7954
568808.4358,5318775.886,73.62,324,14,15,305,8,4101,888,10,7413
563357.2803,5304814.109,16.2,321,12,12,113,3,4104,888,50,6815
577832.5444,5453549.235,42.4,524,34,15,598,5,6301,888,20,7408
582751.5987,5444468.838,4.24,516,2,16,597,7,6301,888,10,8431
581788.0615,5435998.032,7.32,517,2,16,597,7,6301,888,10,8382
582291.6205,5306396.417,12.28333333,324,2,17,514,7,4104,888,10,7675
581956.7438,5302552.933,19.25555556,286,2,17,305,7,4103,888,20,8103
590112.4987,5400189.559,21.65,495,2,17,579,5,6402,888,20,7220
596205.5027,5378162.943,31.43333333,324,32,3,24,7,4104,888,40,4867
419016.8121,5346400.003,4.8,502,2,18,807,7,3103,888,10,8602
422580.4046,5297659.505,3.955555556,1068,2,17,752,8,10101,888,10,8534
432100.523,5365218.804,5.7,1068,2,16,807,8,10101,555,20,7885
