GW-Nummer,GWL,RECHTSWERT,HOCHWERT,def,pdsi,ro,soil,tmmn,DHM
0,141.3187068,420866.1248,5376787.964,118.2416667,-141.275,20.84166667,512.6416667,67.96666667,141
1,144.7184481,416098.0244,5369590.824,132.25,-149.275,17.025,497.65,68.19166667,152
2,94.3064791,474573.8759,5494518.17,168.45,-192.6416667,13.25833333,564.6166667,67.525,97
3,98.75930169,467496.6605,5459209.18,177.9416667,-184.8,13.65,501.1916667,69.76666667,113
4,190.8846019,396884.6251,5317011.684,149.2666667,-88.55,24.45833333,416.825,72.13333333,192
5,132.6490458,413599.049,5384015.099,152.7666667,-165.0166667,12.78333333,486.7083333,70.55833333,136
6,175.7966281,408473.0091,5335870.221,107.9666667,-110.575,27.58333333,479.1583333,68.16666667,178
7,191.413206,410594.1629,5328009.314,112.6833333,-111.5916667,25.1,443.5333333,68.89166667,201
8,227.3663588,400664.1567,5305133.431,148.775,-92.68333333,16.725,371.65,69.50833333,230
9,124.8168006,424734.6084,5394380.99,123.625,-152.8416667,19.43333333,481.925,65.36666667,126
10,206.6074508,414846.4911,5327902.351,104.525,-112.3916667,24.85833333,442.625,67.25,208
11,116.2108302,438272.2132,5405387.62,127.1666667,-129.3083333,23.525,470.7916667,67.95,126
12,127.1569812,427338.566,5393951.162,121.4666667,-146.425,21.81666667,479.3583333,65.83333333,132
13,99.9400385,450676.2993,5434735.964,180.5,-172.3833333,15.14166667,441.775,69.7,103
14,109.3695982,442989.342,5416505.197,136.9333333,-142.4583333,22.10833333,466.5333333,66.09166667,117
15,92.51950843,460979.2593,5463727.415,185.55,-184.5,11.71666667,479.6416667,70.98333333,97
16,100.9971852,452003.7744,5434946.877,179.425,-173.0416667,15.00833333,448.95,70.15,111
17,92.81093185,469560.873,5482608.91,181.3666667,-191.6,9.383333333,507.6583333,70.99166667,102
18,108.8257505,465553.4144,5438269.53,167.4083333,-181.7166667,15.80833333,492.8333333,68.825,113
19,96.72815682,476282.1769,5475494.674,139.9583333,-187.1833333,19.85,591.05,66.88333333,110
20,98.13828544,477055.8639,5469075.213,153.6583333,-182.8083333,16.95,564.9416667,70.61666667,111
21,207.0464432,412556.3958,5323443.099,120.875,-110.8166667,22.45833333,422.7416667,70.925,219
22,149.1651666,408735.956,5361113.195,138.0083333,-135.7666667,16.675,485.7416667,69.13333333,148
23,176.847509,408336.0602,5334627.711,115.5666667,-104.5583333,26.95,461.3916667,69.625,179
24,246.4807919,402439.4476,5305371.337,148.775,-92.68333333,16.725,371.65,69.50833333,246
25,101.1035871,450881.2172,5434011.25,180.5,-172.3833333,15.14166667,441.775,69.7,107
26,110.5544841,444927.5699,5416487.205,136.9333333,-142.4583333,22.10833333,466.5333333,66.09166667,120
27,115.7303059,453079.3256,5416415.235,117.7416667,-126.475,26.66666667,502.875,64.54166667,123
28,94.67159564,474114.0564,5493295.656,168.45,-192.6416667,13.25833333,564.6166667,67.525,100
29,101.0151819,473538.2528,5459323.105,164.2833333,-183.8083333,15.04166667,524.7833333,69.875,119
30,190.457144,399190.6823,5320646.247,139.425,-91.54166667,25.28333333,422,71.83333333,190
31,191.4683954,398943.8056,5316731.792,150.1333333,-90.68333333,19.45833333,397.95,71.325,198
32,217.8365353,407547.3868,5315987.057,131.4916667,-103.1,18.68333333,396.225,69.68333333,223
33,136.0671318,421765.7773,5382615.653,114.7083333,-148.6916667,20.24166667,513.65,64.225,143
34,145.8835445,421205.9787,5371899.902,115.5083333,-139.7583333,21.29166667,511.5166667,69.30833333,153
35,149.7248172,414759.5498,5361093.203,126.625,-141.85,19.80833333,491.2833333,68.525,149
36,217.7489637,416295.9158,5326252.003,96.85833333,-113.55,25.88333333,443.4083333,65.375,233
37,101.272467,451167.1033,5433485.457,180.5,-172.3833333,15.14166667,441.775,69.7,109
38,88.14048827,464298.98,5481220.489,186.9083333,-187.8583333,8.416666667,489.7833333,72.3,96
39,93.19809939,465674.4014,5466860.15,181.7583333,-187.275,11.26666667,494.1916667,71.04166667,103
40,96.9581546,476795.9713,5472459.87,153.6583333,-182.8083333,16.95,564.9416667,70.61666667,117
41,191.9385711,398581.9547,5315332.353,150.1333333,-90.68333333,19.45833333,397.95,71.325,207
42,135.0149979,413232.1872,5379102.049,147.25,-159.35,13.375,491.1166667,70.36666667,137
43,150.142796,412289.5352,5360148.578,133.3833333,-144.1166667,18.43333333,487.0916667,68.80833333,153
44,122.4706403,425100.4625,5396893.99,135.3666667,-151.575,18.275,462.2916667,67.11666667,123
45,145.1139662,420366.3156,5372289.748,115.5083333,-139.7583333,21.29166667,511.5166667,69.30833333,149
46,149.9186565,413930.8802,5360688.363,126.625,-141.85,19.80833333,491.2833333,68.525,150
47,101.9410517,450045.547,5433313.529,180.5,-172.3833333,15.14166667,441.775,69.7,102
48,111.3684579,445810.2182,5416158.336,134.1833333,-137.5833333,22.89166667,474.75,67.525,119
49,115.86302,452061.7291,5415348.66,117.7416667,-126.475,26.66666667,502.875,64.54166667,124
50,94.69778422,475244.6018,5490658.692,170.5916667,-188.675,12.15833333,553.35,69.13333333,102
51,109.245199,463710.1458,5437398.881,167.4083333,-181.7166667,15.80833333,492.8333333,68.825,112
52,190.4382796,400565.1365,5320263.396,133.15,-95.64166667,24.21666667,421.625,70.51666667,196
53,198.787287,394086.7821,5304991.494,168.95,-90.23333333,15.55,362.3916667,70.55833333,206
54,191.3751006,400764.0834,5315926.11,143.875,-94.25833333,18.8,398.6166667,70.275,196
55,254.808868,402234.5302,5303557.062,148.775,-92.68333333,16.725,371.65,69.50833333,254
56,123.5121961,424044.8847,5395480.552,123.625,-152.8416667,19.43333333,481.925,65.36666667,125
57,137.2857632,425124.4335,5383055.478,110.3583333,-142.375,22.29166667,508.8,64.75,141
58,150.8809453,416322.9253,5360471.452,126.625,-141.85,19.80833333,491.2833333,68.525,153
59,115.4732858,451483.9586,5415978.409,117.7416667,-126.475,26.66666667,502.875,64.54166667,117
60,100.416206,468049.4388,5458155.597,177.9416667,-184.8,13.65,501.1916667,69.76666667,115
61,143.2854459,413700.9854,5370139.606,140.8083333,-153.675,15.33333333,491.7333333,68.93333333,142
62,160.7391665,411049.0172,5349228.921,115.2333333,-121.875,24.61666667,485.0833333,68.625,162
63,194.0378604,410391.2446,5326028.093,120.875,-110.8166667,22.45833333,422.7416667,70.925,193
64,151.7621084,416061.029,5359290.921,126.625,-141.85,19.80833333,491.2833333,68.525,154
65,128.2600801,432084.6676,5393809.221,117.0166667,-130.5583333,23.93333333,487.8833333,66.58333333,130
66,94.4165631,475226.6076,5489226.258,170.5916667,-188.675,12.15833333,553.35,69.13333333,105
67,97.54539734,472816.5502,5465947.475,169.1666667,-185.8333333,13.45833333,523.7666667,70.16666667,115
68,101.823747,470887.3069,5457105.002,172.4583333,-183.5916667,14.26666667,512.5333333,69.825,107
69,101.1724445,476948.9012,5464945.856,156.9666667,-184.6333333,16.53333333,554.6583333,71.01666667,106
70,191.9591526,397829.2552,5315174.417,150.1333333,-90.68333333,19.45833333,397.95,71.325,196
71,178.6398762,407668.3179,5332705.471,115.5666667,-104.5583333,26.95,461.3916667,69.625,178
72,144.3263033,417647.4053,5371423.094,126.9166667,-146.5,18.60833333,499.6666667,68.575,150
73,151.9980496,415496.2539,5358664.17,126.625,-141.85,19.80833333,491.2833333,68.525,151
74,147.4645522,426423.9003,5377767.573,98.73333333,-129.7416667,27.04166667,519.1916667,66.01666667,155
75,102.6446524,449640.7057,5432134.997,170.725,-170.7666667,16.375,451.6083333,69.44166667,106
76,88.63526998,463396.3395,5480488.782,185.5416667,-188.1583333,8.533333333,478.4416667,70.80833333,99
77,111.2424793,457224.6953,5426627.167,155.1833333,-166.65,18.71666667,474.625,68.75833333,123
78,100.7211538,475845.3364,5462091.991,164.6166667,-184.05,14.75,530.5833333,70.3,109
79,212.2658457,393534.0084,5293185.197,178.3,-70.75833333,15.20833333,327.4583333,69.80833333,230
80,151.2695231,412039.6338,5359061.011,133.3833333,-144.1166667,18.43333333,487.0916667,68.80833333,151
81,207.5506593,405115.3554,5315225.374,145.4666667,-97.5,16.54166667,388.2916667,70.08333333,215
82,135.7548584,417089.6473,5381392.14,131.8166667,-149.8166667,17.925,499.2083333,68.58333333,135
83,146.7857463,420076.4311,5370720.373,115.5083333,-139.7583333,21.29166667,511.5166667,69.30833333,148
84,250.1557743,414383.6711,5317536.423,111.5583333,-111.4166667,22.275,412.6583333,69.70833333,267
85,111.2688236,436682.8512,5413283.477,134.0166667,-139.9166667,21.76666667,459.7916667,66.94166667,116
86,160.188024,427983.277,5377437.706,98.73333333,-129.7416667,27.04166667,519.1916667,66.01666667,162
87,109.6145286,441440.9582,5415616.55,140.6666667,-144.0333333,21.075,457.65,66.40833333,111
88,94.41580507,472604.6664,5495162.925,177.2416667,-200.2166667,10.45833333,539.6833333,67.675,97
89,95.4506787,473608.2484,5479680.038,165.0083333,-186.575,13.09166667,551.1,69.85,107
90,93.79932372,464965.6793,5464496.091,180.1833333,-185.6333333,12,494.1583333,70.83333333,95
91,102.3090911,469061.0322,5455216.764,173.725,-184.0333333,14.20833333,500.8916667,68.775,120
92,111.1242683,463855.0822,5434111.186,152.675,-180.975,17.23333333,501.7083333,66.66666667,119
93,137.7940379,413159.2119,5376488.086,147.5166667,-154.8416667,14.10833333,488.325,69.85,137
94,180.1988162,408870.8449,5332329.617,115.5666667,-104.5583333,26.95,461.3916667,69.625,183
95,135.6474324,418746.985,5382085.864,128.125,-154.3166667,17.825,504.1583333,66.08333333,146
96,143.7404016,415821.1362,5370428.491,132.25,-149.275,17.025,497.65,68.19166667,155
97,110.6897042,443567.1112,5415360.653,136.9333333,-142.4583333,22.10833333,466.5333333,66.09166667,115
98,92.57475723,463504.2651,5466013.497,181.7583333,-187.275,11.26666667,494.1916667,71.04166667,94
99,101.3578384,463104.3932,5447221.974,181.075,-182.9333333,14.19166667,480.175,69.49166667,110
100,106.5100618,465926.2696,5443966.26,172.7666667,-180.825,15.18333333,491.0916667,69.25833333,110
101,99.2969346,476220.1952,5467707.758,156.9666667,-184.6333333,16.53333333,554.6583333,71.01666667,107
102,191.4681775,400169.3144,5317330.552,139.425,-91.54166667,25.28333333,422,71.83333333,198
103,179.5421687,407953.2037,5331774.837,115.5666667,-104.5583333,26.95,461.3916667,69.625,177
