;GW-Nummer;AQUIFER;Messstelle;Datum;RECHTSWERT;HOCHWERT;Nitrat
1;1;Malm Weißjura (Schwäbische Alb);1;2019-09-30 08:00:00+00:00;395548.146;5286737.955;9.74
2;2;Buntsandstein;2;2019-09-11 07:05:00+00:00;419360.687;5343828.081;5.7
3;3;Kristallin (Schwarzwald);3;2019-12-04 13:45:00+00:00;423138.1;5307441.485;4.3
4;4;Kristallin (Schwarzwald);4;2019-09-17 11:30:00+00:00;413740.8796;5301683.785;6.8
5;5;Kristallin (Schwarzwald);5;2019-12-05 13:00:00+00:00;425289.2339;5290863.88;3.942105263
6;6;Buntsandstein;6;2019-12-05 08:45:00+00:00;434800.6394;5279576.672;2.35
7;7;Buntsandstein;7;2019-11-26 14:30:00+00:00;441922.715;5372334.759;6.32
8;8;Kristallin (Schwarzwald);8;2019-12-03 08:00:00+00:00;438796.3826;5319363.704;3.15625
9;9;Muschelkalk;9;2019-09-11 06:51:00+00:00;446145.0268;5277798.06;11.14
10;10;Buntsandstein;10;2019-11-26 11:30:00+00:00;453713.034;5364862.758;2.5
11;11;Buntsandstein;11;2019-09-09 08:15:00+00:00;456132.094;5317541.59;9.553846154
12;12;Muschelkalk;12;2019-09-09 07:30:00+00:00;458311.2206;5315242.553;5.65
13;13;Muschelkalk;13;2019-11-19 10:00:00+00:00;453113.3916;5283115.129;38.9875
14;14;Muschelkalk;14;2019-09-12 12:35:00+00:00;474849.6599;5377214.881;10.82222222
15;15;Muschelkalk;15;2019-09-05 08:05:00+00:00;474479.8095;5357470.763;28.59166667
16;16;Muschelkalk;16;2019-11-26 09:43:00+00:00;468487.2168;5327787.535;25.55882353
17;17;Muschelkalk;17;2019-09-19 07:20:00+00:00;463489.193;5310224.542;12.22222222
18;18;Muschelkalk;18;2019-12-09 09:30:00+00:00;484385.9394;5388435.421;34.35263158
19;19;Lettenkeuper;19;2019-09-09 06:45:00+00:00;485358.4972;5379963.87;27.04
20;20;Quartär Talfüllungen;20;2019-09-17 11:15:00+00:00;483371.2595;5318442.279;18.75
21;21;Malm Weißjura (Schwäbische Alb);21;2019-09-18 12:00:00+00:00;476775.863;5313418.275;3.625
22;22;Muschelkalk;22;2019-12-09 07:15:00+00:00;492957.5412;5368411.471;33.3
23;23;Lettenkeuper;23;2019-09-04 11:25:00+00:00;491448.082;5359005.224;19.4
24;24;Malm Weißjura (Schwäbische Alb);24;2019-09-26 06:15:00+00:00;491777.9603;5328445.367;3.1
25;25;Buntsandstein;25;2019-12-10 10:45:00+00:00;509287.1158;5475690.532;5.75625
26;26;Höherer Keuper (Keuperbergland);26;2019-09-02 08:30:00+00:00;502343.7026;5379946.787;7.82
27;27;Malm Weißjura (Schwäbische Alb);27;2019-09-02 06:35:00+00:00;503676.835;5338431.709;7.3875
28;28;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);28;2019-09-26 08:15:00+00:00;511818.8654;5316697.046;30.4
29;29;Tertiär (Albsüdrand und Alpenvorland);29;2019-09-09 06:40:00+00:00;503711.1263;5304591.977;12.72222222
30;30;Buntsandstein;30;2019-09-03 12:25:00+00:00;520876.6545;5496929.933;8.8375
31;31;Quartär Talfüllungen;31;2019-09-11 09:10:00+00:00;518908.4468;5364765.1;13.44
32;32;Tertiär (Albsüdrand und Alpenvorland);32;2019-09-11 09:20:00+00:00;516258.2237;5302479.707;0.5
33;33;Lettenkeuper;33;2019-09-03 08:45:00+00:00;528423.4672;5458605.25;9.2125
34;34;Höherer Keuper (Keuperbergland);34;2019-09-30 10:55:00+00:00;530400.0788;5439587.52;10.32307692
35;35;Höherer Keuper (Keuperbergland);35;2019-09-03 12:55:00+00:00;535670.4091;5425298.613;12.21428571
36;36;Tertiär (Albsüdrand und Alpenvorland);36;2019-09-25 08:25:00+00:00;535546.0372;5343819.406;8.954545455
37;37;Quartär Moränen (Alpenvorland);37;2019-12-05 11:00:00+00:00;524872.6471;5303831.34;48.77727273
38;38;Tertiär (Albsüdrand und Alpenvorland);38;2019-09-16 08:30:00+00:00;531426.2018;5286219.34;4.01
39;39;Muschelkalk;39;2019-09-09 07:35:00+00:00;536379.3507;5471076.274;23.45
40;40;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);40;2019-11-14 15:05:00+00:00;545934.3393;5294084.324;27.3
41;41;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);41;2019-09-24 12:20:00+00:00;543504.3678;5277601.921;12.58333333
42;42;Muschelkalk;42;2019-11-11 08:50:00+00:00;549177.5774;5503589.673;45.87333333
43;43;Quartär Talfüllungen;43;2019-09-05 09:45:00+00:00;549559.9952;5459110.026;29.66153846
44;44;Höherer Keuper (Keuperbergland);44;2019-09-16 13:45:00+00:00;557391.6997;5434125.004;4.16
45;45;Höherer Keuper (Keuperbergland);45;2019-09-16 08:10:00+00:00;559315.8948;5422184.791;7.7
46;46;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);46;2019-12-12 09:30:00+00:00;556648.472;5333616.831;35.98
47;47;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);47;2019-11-20 09:00:00+00:00;561524.99;5309060.33;10.42222222
48;48;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);48;2019-09-23 11:50:00+00:00;551377.0793;5302057.087;27.55
49;49;Höherer Keuper (Keuperbergland);49;2019-09-12 08:00:00+00:00;568747.1764;5436354.026;24.275
50;50;Höherer Keuper (Keuperbergland);50;2019-09-25 09:15:00+00:00;569042.0204;5427537.588;14.875
51;51;Quartär Moränen (Alpenvorland);51;2019-09-18 10:50:00+00:00;568808.4358;5318775.886;73.62
52;52;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);52;2019-09-19 14:25:00+00:00;563357.2803;5304814.109;16.2
53;53;Gipskeuper (Fuß des Keuperberglandes);53;2019-09-10 11:45:00+00:00;577832.5444;5453549.235;42.4
54;54;Höherer Keuper (Keuperbergland);54;2019-09-17 09:30:00+00:00;582751.5987;5444468.838;4.24
55;55;Höherer Keuper (Keuperbergland);55;2019-10-01 07:15:00+00:00;581788.0615;5435998.032;7.32
56;56;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);56;2019-09-30 09:00:00+00:00;582291.6205;5306396.417;12.28333333
57;57;Quartär Deckenschotter über Molasse;57;2019-10-01 07:30:00+00:00;581956.7438;5302552.933;19.25555556
58;58;Malm Weißjura (Schwäbische Alb);58;2018-11-20 13:40:00+00:00;590112.4987;5400189.559;21.65
59;59;Quartär Talfüllungen;59;2019-09-05 06:55:00+00:00;596205.5027;5378162.943;31.43333333
60;60;Buntsandstein;60;2019-09-03 06:50:00+00:00;419016.8121;5346400.003;4.8
61;61;Kristallin (Schwarzwald);61;2019-09-16 12:55:00+00:00;422580.4046;5297659.505;3.955555556
62;62;Kristallin (Schwarzwald);62;2018-09-24 09:29:00+00:00;432100.523;5365218.804;5.7
63;63;Buntsandstein;63;2019-12-04 10:00:00+00:00;445276.4525;5296209.994;0.65625
64;64;Lias und Dogger (Albvorland);64;2019-09-11 10:57:00+00:00;449186.0012;5272199.401;6.8
65;65;Buntsandstein;65;2018-09-06 09:20:00+00:00;458193.2592;5369460.959;2.825
66;66;Buntsandstein;66;2019-10-09 09:30:00+00:00;457194.6731;5331890.865;5.675
67;67;Muschelkalk;67;2019-09-09 08:45:00+00:00;460559.2593;5322464.745;17.45
68;68;Muschelkalk;68;2019-09-24 11:15:00+00:00;461162.1236;5298289.203;40.36
69;69;Muschelkalk;69;2019-09-05 07:40:00+00:00;471720.9194;5359240.094;8.425
70;70;Muschelkalk;70;2019-12-04 09:30:00+00:00;467557.5927;5348530.294;29.11176471
71;71;Muschelkalk;71;2019-09-25 07:15:00+00:00;463196.2581;5314900.678;31.6875
72;72;Lias und Dogger (Albvorland);72;2019-09-18 11:30:00+00:00;464838.6777;5301917.744;3.75
73;73;Buntsandstein;73;2019-09-10 11:40:00+00:00;477527.619;5415770.48;64.4
74;74;Buntsandstein;74;2019-12-09 09:45:00+00:00;475437.4575;5392402.818;10.5
75;75;Muschelkalk;75;2018-09-11 06:05:00+00:00;475914.2242;5358915.179;15.275
76;76;Malm Weißjura (Schwäbische Alb);76;2019-09-18 06:00:00+00:00;483101.3665;5324408.914;8.1
77;77;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);77;2019-09-26 09:05:00+00:00;479158.8633;5294800.809;31.68333333
78;78;Quartär Talfüllungen;78;2019-09-04 06:10:00+00:00;497555.6277;5370276.69;27.23333333
79;79;Lias und Dogger (Albvorland);79;2019-09-04 12:25:00+00:00;489194.8972;5351100.866;6.3125
80;80;Buntsandstein;80;2019-09-09 08:55:00+00:00;503589.3692;5473473.361;8.16
81;81;Lias und Dogger (Albvorland);81;2019-12-17 07:30:00+00:00;511143.1544;5378902.209;7.35
82;82;Buntsandstein;82;2019-09-17 09:23:00+00:00;512939.6901;5478767.259;12.94
83;83;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);83;2019-09-19 11:15:00+00:00;519816.6914;5312793.675;17.81333333
84;84;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);84;2019-09-25 13:30:00+00:00;521786.0866;5290132.721;25.95
85;85;Höherer Keuper (Keuperbergland);85;2019-09-09 11:00:00+00:00;535480.4374;5408845.177;6.3
86;86;Quartär Talfüllungen;86;2019-09-17 12:20:00+00:00;533307.9738;5383732.021;27.34
87;87;Malm Weißjura (Schwäbische Alb);87;2019-11-12 00:00:00+00:00;533739.7912;5341939.933;25.26363636
88;88;Quartär Talfüllungen;88;2019-09-02 15:20:00+00:00;540588.4066;5460275.526;18.9125
89;89;Höherer Keuper (Keuperbergland);89;2019-12-10 07:30:00+00:00;541857.8874;5422914.488;1.31875
90;90;Tertiär (Albsüdrand und Alpenvorland);90;2019-09-17 12:30:00+00:00;542432.7142;5298294.563;2.35
91;91;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);91;2019-09-24 11:15:00+00:00;542093.0763;5271909.204;18.9
92;92;Höherer Keuper (Keuperbergland);92;2019-09-16 14:35:00+00:00;558991.1313;5432495.598;5.26
93;93;Höherer Keuper (Keuperbergland);93;2019-09-24 07:15:00+00:00;551483.9628;5404287.061;10.53333333
94;94;Muschelkalk;94;2019-10-30 13:30:00+00:00;560735.5768;5480547.423;31.62666667
95;95;Muschelkalk;95;2019-09-17 07:10:00+00:00;579267.9806;5450483.421;0.28
96;96;Mischwasser, mehrere Aquifere;96;2019-09-17 08:20:00+00:00;579707.8517;5445315.472;45.5
97;97;Malm Weißjura (Schwäbische Alb);97;2019-09-26 11:00:00+00:00;582047.7344;5407420.656;8.422222222
98;98;Malm Weißjura (Schwäbische Alb);98;2019-09-26 08:15:00+00:00;596106.1489;5411953.847;18.99
99;99;Kristallin (Schwarzwald);99;2019-09-17 08:10:00+00:00;426173.9793;5284200.791;3.28
100;100;Buntsandstein;100;2019-09-25 11:59:00+00:00;458633.063;5368092.454;2.066666667
101;101;Quartär Talfüllungen;101;2019-09-09 05:00:00+00:00;451303.9698;5348858.988;7.533333333
102;102;Buntsandstein;102;2019-09-09 11:15:00+00:00;454414.7583;5329705.8;4.3
103;103;Muschelkalk;103;2019-09-05 09:35:00+00:00;468392.2209;5350218.707;18.1
104;104;Muschelkalk;104;2019-09-03 12:55:00+00:00;468613.1381;5349170.074;15.74
105;105;Buntsandstein;105;2019-09-04 09:30:00+00:00;479446.1702;5415546.526;19.025
106;106;Tertiär (Albsüdrand und Alpenvorland);106;2019-09-09 12:29:00+00:00;483504.2475;5282943.412;17.51666667
107;107;Muschelkalk;107;2019-12-12 12:30:00+00:00;488337.3962;5456736.068;33.20666667
108;108;Lias und Dogger (Albvorland);108;2019-09-02 08:50:00+00:00;493677.1926;5343249.5;1.069230769
109;109;Quartär Talfüllungen;109;2019-09-12 11:00:00+00:00;510787.4719;5461192.355;29.22
110;110;Lettenkeuper;110;2019-09-24 08:10:00+00:00;507033.8689;5436527.174;39.9125
111;111;Tertiär (Albsüdrand und Alpenvorland);111;2019-09-09 05:10:00+00:00;501364.0832;5301338.219;32.18
112;112;Buntsandstein;112;2019-08-27 12:00:00+00:00;522579.9611;5509668.869;7.35
113;113;Quartär Moränen (Alpenvorland);113;2019-09-16 10:30:00+00:00;522255.6987;5322504.77;45.34
114;114;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);114;2019-09-16 11:20:00+00:00;520771.5245;5285191.731;6.266666667
115;115;Lettenkeuper;115;2019-09-03 13:40:00+00:00;535526.6509;5462431.735;27.4
116;116;Höherer Keuper (Keuperbergland);116;2019-09-10 06:09:00+00:00;529112.9451;5409344.952;8.971428571
117;117;Malm Weißjura (Schwäbische Alb);117;2019-09-25 10:20:00+00:00;533263.5685;5344974.196;25.23333333
118;118;Quartär Moränen (Alpenvorland);118;2019-09-11 12:25:00+00:00;528877.1956;5298325.482;31.85
119;119;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);119;2019-09-25 12:00:00+00:00;529485.979;5292012.086;10.94
120;120;Quartär Talfüllungen;120;2018-09-10 11:45:00+00:00;546176.4191;5461334.138;23.175
121;121;Quartär Talfüllungen;121;2019-09-04 10:00:00+00:00;541121.3689;5460027.785;4.86
122;122;Höherer Keuper (Keuperbergland);122;2019-09-16 10:15:00+00:00;541323.1869;5438702.251;21.66
123;123;Höherer Keuper (Keuperbergland);123;2019-09-16 09:20:00+00:00;548184.3768;5431170.239;8.35
124;124;Tertiär (Albsüdrand und Alpenvorland);124;2019-09-17 13:10:00+00:00;542382.7272;5297844.825;33.175
125;125;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);125;2019-09-24 11:45:00+00:00;545353.6847;5277495.997;16.53333333
126;126;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);126;2019-09-24 10:15:00+00:00;544182.1654;5271665.357;17.5
127;127;Muschelkalk;127;2019-09-03 09:10:00+00:00;561577.1741;5455542.46;23.12
128;128;Höherer Keuper (Keuperbergland);128;2019-12-02 10:15:00+00:00;568619.2217;5431307.146;37.43125
129;129;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);129;2019-09-18 09:25:00+00:00;568461.4929;5319896.576;52.23333333
130;130;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);130;2019-09-18 07:55:00+00:00;574347.473;5354526.695;1.6
131;131;Malm Weißjura (Schwäbische Alb);131;2019-12-04 10:30:00+00:00;600402.8278;5392823.014;31.10298507
132;132;Quartär eiszeitl.Kiese+Sande (Oberrheingraben);132;2019-09-09 12:42:00+00:00;443628.0479;5412423.829;2.42
133;133;Buntsandstein;133;2019-12-03 09:00:00+00:00;450554.2789;5391432.136;3.45
134;134;Buntsandstein;134;2019-09-09 10:15:00+00:00;457975.3584;5328222.345;15.6375
135;135;Muschelkalk;135;2019-09-26 09:30:00+00:00;468145.3435;5364907.817;30.4
136;136;Muschelkalk;136;2019-11-11 11:45:00+00:00;471271.1031;5338408.303;32.98888889
137;137;Quartär Talfüllungen;137;2019-09-19 08:30:00+00:00;464778.6919;5311194.068;0.6
138;138;Muschelkalk;138;2019-12-09 09:00:00+00:00;484081.0111;5383985.143;38.00666667
139;139;Malm Weißjura (Schwäbische Alb);139;2019-09-03 05:35:00+00:00;482806.5167;5333010.493;11.91428571
140;140;Malm Weißjura (Schwäbische Alb);140;2019-09-02 12:15:00+00:00;497885.5289;5347144.893;8.02
141;141;Lettenkeuper;141;2019-09-19 09:10:00+00:00;511252.1802;5416858.954;5.8
142;142;Muschelkalk;142;2019-09-11 12:40:00+00:00;525894.6156;5485475.469;12.38
143;143;Quartär Talfüllungen;143;2019-12-18 07:15:00+00:00;526584.1495;5454077.109;33.56190476
144;144;Höherer Keuper (Keuperbergland);144;2019-09-05 10:00:00+00:00;532586.5553;5409310.003;7.716666667
145;145;Gipskeuper (Fuß des Keuperberglandes);145;2019-09-10 09:20:00+00:00;536879.9914;5447709.605;0.5
146;146;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);146;2019-09-25 07:10:00+00:00;539059.2087;5317561.706;36.12222222
147;147;Muschelkalk;147;2018-09-06 07:50:00+00:00;555083.8402;5482735.522;20.60833333
148;148;Quartär Talfüllungen;148;2018-09-12 07:30:00+00:00;553046.5378;5458077.462;4.1
149;149;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);149;2019-09-23 14:20:00+00:00;556991.8544;5297347.075;11.0125
150;150;Malm Weißjura (Schwäbische Alb);150;2019-09-23 13:05:00+00:00;565998.1112;5400098.671;5.977777778
151;151;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);151;2019-09-18 14:05:00+00:00;580912.4088;5321626.562;23.86
